Сертификат,Код_группы,Название_группы,Успех,Код_ответа,ID_задачи,Ошибка_товарной_группы,Ошибка
Омелина Татьяна - тс28,1,Предметы одежды,НЕТ,400,,НЕТ,"{""error_message"":""Должно быть заполнено одно из полей: taskTypeId | name""}"
Омелина Татьяна - тс28,2,Обувные товары,НЕТ,400,,НЕТ,"{""error_message"":""Должно быть заполнено одно из полей: taskTypeId | name""}"
Омелина Татьяна - тс28,3,Табачная продукция,НЕТ,400,,НЕТ,"{""error_message"":""Должно быть заполнено одно из полей: taskTypeId | name""}"
Омелина Татьяна - тс28,4,Духи и туалетная вода,НЕТ,400,,НЕТ,"{""error_message"":""Должно быть заполнено одно из полей: taskTypeId | name""}"
Омелина Татьяна - тс28,5,Шины и покрышки,НЕТ,400,,НЕТ,"{""error_message"":""Должно быть заполнено одно из полей: taskTypeId | name""}"
Омелина Татьяна - тс28,6,Фотокамеры,НЕТ,400,,НЕТ,"{""error_message"":""Должно быть заполнено одно из полей: taskTypeId | name""}"
Омелина Татьяна - тс28,8,Молочная продукция,НЕТ,400,,НЕТ,"{""error_message"":""Должно быть заполнено одно из полей: taskTypeId | name""}"
Омелина Татьяна - тс28,9,Велосипеды,НЕТ,400,,НЕТ,"{""error_message"":""Должно быть заполнено одно из полей: taskTypeId | name""}"
Омелина Татьяна - тс28,10,Медицинские изделия,НЕТ,400,,НЕТ,"{""error_message"":""Должно быть заполнено одно из полей: taskTypeId | name""}"
Омелина Татьяна - тс28,11,Слабоалкогольные напитки,НЕТ,400,,НЕТ,"{""error_message"":""Должно быть заполнено одно из полей: taskTypeId | name""}"
Омелина Татьяна - тс28,12,Альтернативная табачная продукция,НЕТ,400,,НЕТ,"{""error_message"":""Должно быть заполнено одно из полей: taskTypeId | name""}"
Омелина Татьяна - тс28,13,Упакованная вода,НЕТ,400,,НЕТ,"{""error_message"":""Должно быть заполнено одно из полей: taskTypeId | name""}"
Омелина Татьяна - тс28,14,Товары из натурального меха,НЕТ,400,,НЕТ,"{""error_message"":""Должно быть заполнено одно из полей: taskTypeId | name""}"
Омелина Татьяна - тс28,15,Пиво,НЕТ,400,,НЕТ,"{""error_message"":""Должно быть заполнено одно из полей: taskTypeId | name""}"
Омелина Татьяна - тс28,22,Безалкогольное пиво,НЕТ,400,,НЕТ,"{""error_message"":""Должно быть заполнено одно из полей: taskTypeId | name""}"
Омелина Татьяна - тс28,23,Соковая продукция,НЕТ,400,,НЕТ,"{""error_message"":""Должно быть заполнено одно из полей: taskTypeId | name""}"
Омелина Татьяна - тс28,26,Ветеринарные препараты,НЕТ,400,,НЕТ,"{""error_message"":""Должно быть заполнено одно из полей: taskTypeId | name""}"
Омелина Татьяна - тс28,27,Игры и игрушки,НЕТ,400,,НЕТ,"{""error_message"":""Должно быть заполнено одно из полей: taskTypeId | name""}"
